"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","NCHLT5","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2022,202201,4910,2022000120874,9349.6,2022000049101,140401,1,2,9672.0,1,0,1,47,1,2,200,0,0,6,63,1,10,5000,1,11
2022,202201,5071,2022000131141,7092.8,2022000050711,200001,1,1,7092.8,1,0,2,64,6,2,200,0,0,10,101,1,10,99000,1,11
2022,202201,5394,2022000152577,9833.2,2022000053941,240001,1,1,9994.4,1,0,2,57,4,2,200,0,0,7,71,1,10,72000,1,11
2022,202201,5394,2022000152577,9833.2,2022000053941,240001,1,2,62384.4,0,0,2,33,4,2,200,0,0,7,71,1,10,47000,1,11
2022,202201,5555,2022000163029,7415.2,2022000055551,280301,1,1,7415.2,0,0,1,23,6,1,100,0,0,7,71,1,10,32000,1,11
2022,202201,5716,2022000172602,12090.0,2022000057161,160001,1,2,6125.6,0,0,1,65,6,1,100,0,0,6,65,1,10,56000,1,11
2022,202201,6039,2022000195059,29822.0,2022000060391,90001,1,1,29983.2,1,1,1,33,1,1,100,0,0,10,101,1,10,47000,1,11
2022,202201,6039,2022000195059,29822.0,2022000060391,90001,1,2,21117.2,1,1,2,31,1,1,100,0,0,11,114,1,10,48000,1,11
2022,202201,6200,2022000206665,17570.8,2022000062001,140201,1,1,17570.8,0,0,1,45,1,6,610,0,0,7,71,1,10,36000,1,11
2022,202201,6200,2022000206665,17570.8,2022000062001,140201,1,2,14830.4,0,0,2,44,1,6,610,0,0,10,101,1,10,9000,1,11
2022,202201,6683,2022000237444,9349.6,2022000066831,230001,1,1,9188.4,2,0,2,54,4,2,200,0,0,8,81,1,10,39500,1,11
2022,202201,6683,2022000237444,9349.6,2022000066831,230001,1,2,16120.0,0,0,1,33,2,2,200,0,0,6,65,1,10,23300,1,11
2022,202201,6683,2022000237444,9349.6,2022000066831,230001,1,3,15958.8,0,0,1,31,6,2,200,0,0,6,64,1,10,180000,1,11
2022,202201,7006,2022000260131,4030.0,2022000070061,250001,1,1,4030.0,0,0,2,56,1,1,100,0,0,8,81,1,10,5000,1,11
2022,202201,7006,2022000260131,4030.0,2022000070061,250001,1,2,2095.6,0,0,1,56,1,1,100,0,0,11,114,1,10,130000,1,11
2022,202201,7328,2022000282364,19505.2,2022000073281,150201,1,1,19505.2,1,0,1,59,1,1,100,0,0,10,101,1,10,184000,1,11
2022,202201,7328,2022000282364,19505.2,2022000073281,150201,1,3,36914.8,0,0,1,32,6,1,100,0,0,11,114,1,10,5400,1,11
2022,202201,7489,2022000293933,34496.8,2022000074891,210101,1,1,34335.6,2,0,2,59,1,1,100,0,0,8,81,1,10,34000,1,11
2022,202201,7489,2022000293933,34496.8,2022000074891,210101,1,2,38043.2,2,0,1,60,1,1,100,0,0,10,101,1,10,50000,1,11
2022,202201,7489,2022000293933,34496.8,2022000074891,210101,1,4,17732.0,0,0,2,19,6,1,100,0,0,7,71,1,10,10000,1,11
2022,202201,7651,2022000304339,3546.4,2022000076511,140101,1,1,3546.4,2,0,1,46,1,1,100,0,0,10,101,1,10,65000,1,11
2022,202201,7651,2022000304339,3546.4,2022000076511,140101,1,2,5158.4,2,0,2,44,1,1,100,0,0,10,101,1,10,5000,1,11
2022,202201,7812,2022000315472,39816.4,2022000078121,110001,1,1,39816.4,0,0,1,51,1,2,200,0,0,7,71,1,10,57000,1,11
2022,202201,7812,2022000315472,39816.4,2022000078121,110001,1,2,32078.8,0,0,2,48,1,2,200,0,0,7,71,1,10,56000,1,11
2022,202201,7973,2022000326918,3062.8,2022000079731,230001,1,1,3224.0,1,0,1,60,1,1,100,0,0,11,115,1,10,250000,1,11
2022,202201,7973,2022000326918,3062.8,2022000079731,230001,1,3,4191.2,0,0,1,27,6,1,100,0,0,10,101,1,10,50000,1,11
2022,202201,8134,2022000338788,1612.0,2022000081341,50101,1,1,1612.0,0,0,1,31,6,1,100,0,0,11,114,1,10,170000,1,11
2022,202201,8134,2022000338788,1612.0,2022000081341,50101,1,2,1934.4,0,0,2,25,6,1,100,0,0,10,101,1,10,9000,1,11
2022,202201,8295,2022000349752,10800.4,2022000082951,10001,1,2,13702.0,0,0,2,61,1,1,100,0,0,8,81,1,10,70000,1,11
2022,202201,8457,2022000361271,11606.4,2022000084571,200001,1,1,11445.2,5,2,1,46,1,1,100,0,0,10,101,1,10,27000,1,11
2022,202201,8618,2022000373703,6770.4,2022000086181,130101,1,1,6770.4,2,0,2,45,1,1,100,0,0,7,71,1,10,26000,1,11
2022,202201,8618,2022000373703,6770.4,2022000086181,130101,1,2,9027.2,2,0,1,49,1,1,100,0,0,6,63,1,10,70000,1,11
2022,202201,8779,2022000385595,20311.2,2022000087791,40201,1,1,20311.2,0,0,1,63,1,1,100,0,0,11,114,1,10,200000,2,20
2022,202201,8940,2022000397067,22406.8,2022000089401,200001,1,1,22406.8,0,0,1,36,1,8,801,0,0,6,63,1,10,52000,1,11
2022,202201,8940,2022000397067,22406.8,2022000089401,200001,1,2,13863.2,0,0,2,40,1,1,100,0,0,10,101,1,10,35000,1,11
2022,202201,9101,2022000409431,11767.6,2022000091011,200001,1,1,11767.6,0,0,2,47,4,1,100,0,0,6,63,1,10,18700,1,11
2022,202201,9424,2022000429332,49972.0,2022000094241,140401,1,1,49972.0,0,0,2,26,6,9,973,0,0,11,114,1,10,20,1,11
2022,202201,9907,2022000461396,8221.2,2022000099071,70001,1,1,8060.0,2,1,1,28,1,1,100,0,0,7,71,1,10,44000,1,11
2022,202201,10230,2022000484251,16764.8,2022000102301,110001,1,1,16764.8,0,0,1,59,1,2,200,0,0,6,65,1,10,115000,1,11
2022,202201,10391,2022000494753,12090.0,2022000103911,150201,1,1,12090.0,2,0,1,42,1,1,100,0,0,6,63,1,10,85000,1,11
2022,202201,10391,2022000494753,12090.0,2022000103911,150201,1,2,12573.6,2,0,2,37,1,1,100,0,0,10,101,1,10,44000,1,11
2022,202201,10875,2022000529441,8221.2,2022000108751,110001,1,1,8221.2,0,0,1,22,1,8,801,0,0,6,63,1,10,0,1,11
2022,202201,10875,2022000529441,8221.2,2022000108751,110001,1,2,13379.6,0,0,2,22,1,1,100,0,0,7,71,1,10,11500,1,11
2022,202201,11036,2022000540325,6931.6,2022000110361,30001,1,1,6931.6,0,0,2,56,1,1,100,0,0,6,63,1,10,19000,1,11
2022,202201,11036,2022000540325,6931.6,2022000110361,30001,1,2,11284.0,0,0,1,50,1,1,100,0,0,4,40,1,10,24000,1,11
2022,202201,12325,2022000626348,5480.8,2022000123251,50101,1,1,5319.6,0,0,2,57,4,1,100,0,0,10,101,1,10,60000,1,11
2022,202201,12487,2022000637535,4191.2,2022000124871,230001,1,1,4352.4,1,0,2,49,1,1,100,0,0,10,101,1,10,0,1,11
2022,202201,12487,2022000637535,4191.2,2022000124871,230001,1,2,3224.0,1,0,1,49,1,1,100,0,0,10,101,1,10,200000,1,11
2022,202201,12487,2022000637535,4191.2,2022000124871,230001,1,3,5964.4,0,0,1,23,6,1,100,0,0,7,71,1,10,8000,1,11
2022,202201,12809,2022000660478,9833.2,2022000128091,140101,1,1,9672.0,0,0,2,56,4,1,100,0,0,7,71,1,10,55000,1,11
2022,202201,13131,2022000681529,1934.4,2022000131311,50101,1,1,2095.6,0,0,2,25,1,1,100,0,0,7,71,1,10,27000,1,11
2022,202201,13131,2022000681529,1934.4,2022000131311,50101,1,2,1612.0,0,0,1,24,1,1,100,0,0,7,71,1,10,60000,1,11
2022,202201,13615,2022000713690,19666.4,2022000136151,270101,1,1,19505.2,0,0,1,42,1,1,100,0,0,10,101,1,10,200000,1,11
2022,202201,13615,2022000713690,19666.4,2022000136151,270101,1,2,13218.4,0,0,2,36,1,8,826,0,0,10,101,1,10,60000,1,11
2022,202201,13776,2022000724799,18860.4,2022000137761,160001,1,1,18860.4,2,0,1,31,1,1,100,0,0,5,50,1,10,35000,1,11
2022,202201,13776,2022000724799,18860.4,2022000137761,160001,1,2,13702.0,2,0,2,41,1,1,100,0,0,8,81,1,10,22000,1,11
2022,202201,14260,2022000756724,16120.0,2022000142601,120101,1,1,16120.0,1,1,1,32,1,1,100,0,0,11,116,1,10,59000,1,11
2022,202201,14421,2022000768736,14991.6,2022000144211,190101,1,1,15152.8,0,0,1,59,1,1,100,0,0,6,63,1,10,80000,1,11
2022,202201,14421,2022000768736,14991.6,2022000144211,190101,1,2,17409.6,0,0,2,53,1,1,100,0,0,6,63,1,10,33000,1,11
2022,202201,14743,2022000791207,43846.4,2022000147431,230001,1,1,44007.6,2,1,1,29,1,1,100,0,0,6,61,1,10,32000,1,11
2022,202201,14743,2022000791207,43846.4,2022000147431,230001,1,2,56097.6,2,1,2,26,1,1,100,0,0,6,61,1,10,25000,1,11
2022,202201,14905,2022000802135,3062.8,2022000149051,230001,1,1,3062.8,0,0,1,31,6,2,200,0,0,8,81,1,10,80000,1,11
2022,202201,15066,2022000813776,7898.8,2022000150661,150101,1,1,7737.6,1,0,2,54,1,1,100,0,0,10,101,1,10,60000,1,11
2022,202201,15066,2022000813776,7898.8,2022000150661,150101,1,2,5964.4,1,0,1,57,1,1,100,0,0,11,114,1,10,250000,1,11
2022,202201,15388,2022000835967,9349.6,2022000153881,280101,1,1,9349.6,2,2,2,30,1,1,100,0,0,10,101,1,10,60000,1,11
2022,202201,15388,2022000835967,9349.6,2022000153881,280101,1,2,10961.6,2,2,1,31,1,1,100,0,0,8,81,1,10,38000,1,11
2022,202201,15549,2022000846243,23696.4,2022000155491,20001,1,1,23696.4,0,0,1,58,1,7,700,4,498,11,114,1,10,150000,2,20
2022,202201,15711,2022000857719,36108.8,2022000157111,140101,1,1,35947.6,1,1,2,22,6,7,700,1,100,6,64,1,10,1600,1,11
2022,202201,15711,2022000857719,36108.8,2022000157111,140101,1,3,15958.8,0,0,1,30,4,7,700,1,100,6,61,1,10,2000,1,11
2022,202201,15872,2022000866723,15152.8,2022000158721,140301,1,1,15152.8,0,0,1,29,6,1,100,0,0,10,101,1,10,12000,1,11
2022,202201,16033,2022000878719,4997.2,2022000160331,50101,1,1,4997.2,0,0,1,47,1,1,100,0,0,6,63,1,10,150000,1,11
2022,202201,16033,2022000878719,4997.2,2022000160331,50101,1,2,5964.4,0,0,2,41,1,1,100,0,0,6,65,1,10,45000,1,11
2022,202201,16355,2022000900444,8866.0,2022000163551,190101,1,2,7898.8,0,0,1,61,1,1,100,0,0,6,63,1,10,30000,1,11
2022,202201,16678,2022000923097,2095.6,2022000166781,50101,1,1,1934.4,0,0,1,61,1,1,100,0,0,7,71,1,10,70000,1,11
2022,202201,16678,2022000923097,2095.6,2022000166781,50101,1,2,1773.2,0,0,2,54,1,1,100,0,0,6,63,1,10,32000,1,11
2022,202201,16839,2022000934012,17570.8,2022000168391,150201,1,1,17570.8,1,0,1,49,3,1,100,0,0,6,64,1,10,118000,1,11
2022,202201,17000,2022000945174,4030.0,2022000170001,230001,1,1,3868.8,0,0,1,63,1,1,100,0,0,6,65,1,10,10000,1,11
2022,202201,17161,2022000955832,44168.8,2022000171611,280301,1,1,44168.8,1,0,2,46,4,2,200,0,0,6,63,1,10,32000,1,11
2022,202201,17161,2022000955832,44168.8,2022000171611,280301,1,2,39171.6,0,0,1,20,6,2,200,0,0,7,71,1,10,20000,1,11
2022,202201,17806,2022001001439,44652.4,2022000178061,160001,1,1,44652.4,4,1,2,38,4,1,100,0,0,6,63,1,10,0,1,11
2022,202201,18129,2022001024335,4997.2,2022000181291,280101,1,1,4997.2,3,0,1,32,1,8,802,0,0,7,71,1,10,168000,1,11
2022,202201,18451,2022001045921,11122.8,2022000184511,230001,1,2,8543.6,0,0,2,64,1,1,100,0,0,8,81,1,10,50000,1,11
2022,202201,18773,2022001067022,4674.8,2022000187731,80001,1,2,5642.0,1,0,2,47,6,2,200,0,0,11,114,1,10,57000,1,11
2022,202201,19096,2022001090772,11606.4,2022000190961,270101,1,1,11606.4,0,0,2,62,1,1,100,0,0,10,101,1,10,40000,1,11
2022,202201,19096,2022001090772,11606.4,2022000190961,270101,1,2,11445.2,0,0,1,64,1,1,100,0,0,11,116,1,10,91000,1,11
2022,202201,19257,2022001101818,9994.4,2022000192571,10001,1,1,9994.4,0,0,1,24,6,1,100,0,0,6,63,1,10,50000,1,11
2022,202201,19418,2022001113254,13702.0,2022000194181,120101,1,1,13702.0,0,0,2,51,1,2,200,0,0,6,65,1,10,54000,1,11
2022,202201,19418,2022001113254,13702.0,2022000194181,120101,1,2,29983.2,0,0,1,52,1,2,200,0,0,0,2,1,10,38200,1,11
2022,202201,19741,2022001134192,4191.2,2022000197411,110001,1,1,4191.2,1,0,2,35,6,2,200,0,0,8,81,1,10,40000,1,11
2022,202201,19741,2022001134192,4191.2,2022000197411,110001,1,2,15958.8,1,0,1,38,6,2,200,0,0,6,63,1,10,40000,1,11
2022,202201,19902,2022001146402,42073.2,2022000199021,40301,1,2,42718.0,3,0,1,26,1,7,700,1,100,6,63,1,10,24000,1,11
2022,202201,20063,2022001156517,8866.0,2022000200631,20001,1,3,11284.0,0,0,1,19,6,1,100,0,0,7,71,1,10,4500,1,11
2022,202201,21191,2022001235458,8060.0,2022000211911,100001,1,1,8221.2,1,0,1,51,1,1,100,0,0,6,63,1,10,28000,1,11
2022,202201,21191,2022001235458,8060.0,2022000211911,100001,1,3,4836.0,0,0,1,18,6,1,100,0,0,5,50,1,10,6000,1,11
2022,202201,21836,2022001279609,1612.0,2022000218361,240001,1,2,2901.6,0,0,1,63,1,1,100,0,0,6,61,1,10,45000,1,11
2022,202201,22320,2022001311433,8060.0,2022000223201,40301,1,1,8221.2,0,0,1,60,6,1,100,0,0,10,101,1,10,192000,1,11
2022,202201,22642,2022001333175,13863.2,2022000226421,150101,1,1,13863.2,4,0,1,40,1,1,100,0,0,7,71,1,10,452000,1,11
2022,202201,22642,2022001333175,13863.2,2022000226421,150101,1,2,12090.0,4,0,2,38,1,1,100,0,0,6,65,1,10,360,1,11
2022,202201,23771,2022001410147,10316.8,2022000237711,130101,1,1,10155.6,3,1,1,33,1,1,100,0,0,8,81,1,10,0,1,11
2022,202201,23771,2022001410147,10316.8,2022000237711,130101,1,2,13863.2,3,1,2,32,1,1,100,0,0,7,71,1,10,5000,1,11
2022,202201,23932,2022001420445,3546.4,2022000239321,230001,1,1,3546.4,1,0,2,56,1,8,826,0,0,6,63,1,10,1500,1,11
2022,202201,23932,2022001420445,3546.4,2022000239321,230001,1,2,4836.0,1,0,1,59,1,2,200,0,0,5,50,1,10,58000,1,11
2022,202201,23932,2022001420445,3546.4,2022000239321,230001,1,3,7254.0,0,0,2,24,6,9,904,0,0,6,63,1,10,5000,1,11
2022,202201,24093,2022001431136,6125.6,2022000240931,230001,1,1,5964.4,0,0,1,28,1,8,826,3,300,7,71,1,10,15000,1,11
2022,202201,24093,2022001431136,6125.6,2022000240931,230001,1,2,9027.2,0,0,2,26,1,1,100,0,0,10,101,1,10,150000,1,11
2022,202201,24093,2022001431136,6125.6,2022000240931,230001,1,3,18215.6,0,0,2,34,2,1,100,0,0,8,81,1,10,22500,1,11
2022,202201,24415,2022010034864,18054.4,2022000244151,40002,4,1,18054.4,0,0,1,33,6,6,600,0,0,6,61,1,10,5200,1,11
2022,202201,24738,2022010130462,11767.6,2022000247381,40002,4,1,11767.6,0,0,1,24,6,1,100,0,0,6,63,1,10,157000,1,11
2022,202201,24899,2022010178644,11284.0,2022000248991,10102,4,1,11284.0,0,0,1,19,6,1,100,0,0,6,63,1,14,25900,1,12
2022,202201,25060,2022000088239,4674.8,2022000250601,40002,1,1,4674.8,3,1,2,28,6,3,374,0,0,6,65,1,10,15800,1,11
2022,202201,25060,2022000088239,4674.8,2022000250601,40002,1,6,1612.0,1,1,2,25,6,3,374,0,0,6,63,1,10,91000,1,11
2022,202201,25221,2022000186095,5480.8,2022000252211,30002,1,1,5480.8,1,0,2,50,4,1,100,0,0,7,71,1,10,160000,1,11
2022,202201,25705,2022000511322,6448.0,2022000257051,20002,1,1,6448.0,0,0,1,33,6,1,100,0,0,10,101,1,10,135000,1,11
2022,202201,25705,2022000511322,6448.0,2022000257051,20002,1,2,8543.6,0,0,2,33,6,1,100,0,0,7,71,1,10,40000,1,11
2022,202201,25866,2022000599024,15797.6,2022000258661,30002,1,1,15958.8,3,0,1,54,4,1,100,0,0,10,101,1,10,93000,1,11
2022,202201,25866,2022000599024,15797.6,2022000258661,30002,1,2,11122.8,0,0,1,19,6,1,100,0,0,7,71,1,10,2700,1,11
2022,202201,25866,2022000599024,15797.6,2022000258661,30002,1,3,11122.8,0,0,1,18,6,1,100,0,0,6,63,1,10,24000,1,11
2022,202201,26189,2022000795833,3385.2,2022000261891,20002,1,1,3385.2,3,0,1,39,1,8,821,0,0,7,71,1,10,60000,1,11
2022,202201,26189,2022000795833,3385.2,2022000261891,20002,1,2,12896.0,3,0,2,40,1,1,100,0,0,7,71,1,10,54000,1,11
2022,202201,26511,2022000984841,2256.8,2022000265111,40002,1,1,2256.8,2,0,2,31,6,3,375,0,0,6,63,1,10,23500,1,11
2022,202201,26511,2022000984841,2256.8,2022000265111,40002,1,2,2579.2,2,0,1,33,6,3,375,0,0,6,61,1,10,17000,1,11
2022,202201,26672,2022001079435,12573.6,2022000266721,20002,1,1,12734.8,1,0,2,38,4,1,100,0,0,3,30,1,10,12500,1,11
2022,202201,26833,2022001180754,14185.6,2022000268331,20002,1,1,14185.6,0,0,1,62,1,1,100,0,0,7,71,1,10,0,1,11
2022,202201,26833,2022001180754,14185.6,2022000268331,20002,1,2,9188.4,0,0,2,61,1,1,100,0,0,6,65,1,10,75000,1,11
2022,202201,26995,2022001276358,32884.8,2022000269951,10202,1,1,32884.8,0,0,1,52,4,1,100,0,0,11,114,1,10,125000,1,11
2022,202201,26995,2022001276358,32884.8,2022000269951,10202,1,2,26114.4,0,0,2,52,4,1,100,0,0,10,101,1,10,31200,1,11
2022,202201,27639,2022010017677,37398.4,2022000276391,50004,4,1,37398.4,0,0,1,21,6,1,100,0,0,6,65,1,10,10600,1,11
2022,202201,27962,2022010033397,7898.8,2022000279621,50004,4,1,7898.8,0,0,2,21,6,7,700,1,100,6,65,1,10,9000,1,11
2022,202201,28929,2022010080889,6770.4,2022000289291,100004,4,1,6770.4,0,0,2,59,4,1,100,0,0,10,101,1,10,16000,1,11
2022,202201,29090,2022010088844,9188.4,2022000290901,90004,4,1,9188.4,0,0,1,31,6,1,100,0,0,10,101,1,14,25300,1,12
2022,202201,29251,2022010095737,9510.8,2022000292511,50004,4,1,9510.8,0,0,1,18,6,1,100,0,0,6,65,1,10,150,1,11
2022,202201,30057,2022010133782,9510.8,2022000300571,250204,4,1,9510.8,0,0,1,18,6,7,700,4,423,7,71,1,10,8000,1,11
2022,202201,30380,2022010149680,8704.8,2022000303801,190704,4,1,8704.8,0,0,2,19,6,1,100,0,0,6,65,1,10,1900,1,11
2022,202201,31186,2022000007215,9833.2,2022000311861,190904,1,1,9833.2,0,0,1,53,6,1,100,0,0,6,63,1,10,53000,1,11
2022,202201,31508,2022000023837,10316.8,2022000315081,13004,1,1,10316.8,1,0,2,61,1,1,100,0,0,6,63,1,10,47000,1,11
2022,202201,31508,2022000023837,10316.8,2022000315081,13004,1,2,11122.8,1,0,1,64,1,1,100,0,0,6,63,1,10,20000,1,11
2022,202201,31669,2022000031289,11122.8,2022000316691,190704,1,2,19827.6,0,0,2,20,6,1,100,0,0,7,71,1,10,4000,1,11
2022,202201,31669,2022000031289,11122.8,2022000316691,190704,1,3,10478.0,0,0,2,18,6,1,100,0,0,6,63,1,12,6300,1,11
2022,202201,31669,2022000031289,11122.8,2022000316691,190704,1,4,10316.8,0,0,2,18,6,1,100,0,0,6,63,1,10,0,1,11
2022,202201,31831,2022000039738,4191.2,2022000318311,11904,1,2,4674.8,2,2,1,34,1,8,813,0,0,7,71,1,10,65000,1,11
2022,202201,31992,2022000048336,2579.2,2022000319921,90004,1,1,2418.0,4,0,2,41,2,1,100,0,0,11,115,1,10,50000,1,11
2022,202201,32153,2022000056076,12412.4,2022000321531,50004,1,1,12412.4,0,0,1,51,4,1,100,0,0,10,101,1,10,60000,1,11
2022,202201,32314,2022000063887,13863.2,2022000323141,12204,1,1,13863.2,2,0,1,47,6,1,100,4,412,1,15,1,10,40000,1,11
2022,202201,32798,2022000086668,11122.8,2022000327981,190604,1,1,11122.8,0,0,2,38,6,1,100,0,0,10,101,1,10,100000,1,11
2022,202201,33120,2022000102818,12251.2,2022000331201,80304,1,2,11928.8,1,0,2,31,6,9,907,1,100,10,101,1,10,50000,1,11
2022,202201,33281,2022000111262,10800.4,2022000332811,11704,1,1,10800.4,0,0,2,51,4,1,100,0,0,11,115,1,10,0,1,11
2022,202201,33281,2022000111262,10800.4,2022000332811,11704,1,2,9349.6,0,0,1,59,4,1,100,0,0,11,115,1,10,100000,1,11
2022,202201,33443,2022000119144,16281.2,2022000334431,190604,1,1,16120.0,2,0,2,49,1,1,100,1,100,10,101,1,10,60000,1,11
2022,202201,33443,2022000119144,16281.2,2022000334431,190604,1,2,14991.6,2,0,1,51,1,1,100,0,0,10,101,1,10,51000,1,11
2022,202201,33765,2022000136654,19505.2,2022000337651,12404,1,2,22245.6,2,0,2,46,1,7,700,1,100,1,12,1,10,250,1,11
2022,202201,33926,2022000145119,27565.2,2022000339261,10304,1,1,27404.0,0,0,1,44,2,8,826,4,412,6,61,1,10,5700,1,11
2022,202201,34087,2022000154038,8866.0,2022000340871,10104,1,2,10961.6,0,0,2,60,1,1,100,0,0,6,63,1,10,50000,1,11
2022,202201,34410,2022000170916,19344.0,2022000344101,90004,1,1,19344.0,1,0,1,42,1,1,100,0,0,7,71,1,10,44000,1,11
2022,202201,34410,2022000170916,19344.0,2022000344101,90004,1,2,14991.6,1,0,2,35,1,1,100,0,0,10,101,1,10,90000,1,11
2022,202201,34893,2022000194897,8866.0,2022000348931,11404,1,1,8866.0,1,0,2,54,4,1,100,0,0,10,101,1,10,48000,1,11
2022,202201,35216,2022000211775,7898.8,2022000352161,11704,1,1,7898.8,0,0,2,60,1,1,100,0,0,10,101,1,10,90000,1,11
2022,202201,35216,2022000211775,7898.8,2022000352161,11704,1,2,8704.8,0,0,1,60,1,1,100,0,0,10,101,1,10,250000,1,11
2022,202201,35699,2022000234977,23051.6,2022000356991,12204,1,1,23051.6,2,0,2,39,4,7,700,1,100,6,63,1,10,45000,1,11
2022,202201,36022,2022000249434,12412.4,2022000360221,190704,1,1,12412.4,0,0,2,32,6,1,100,0,0,10,101,1,10,70000,1,11
2022,202201,36183,2022000256848,10155.6,2022000361831,70104,1,1,10316.8,1,0,2,49,5,1,100,0,0,10,101,1,10,53000,1,11
2022,202201,36183,2022000256848,10155.6,2022000361831,70104,1,2,22245.6,1,0,1,38,4,1,100,0,0,8,81,1,10,27400,1,11
2022,202201,37311,2022000313652,26759.2,2022000373111,90004,1,1,26759.2,2,0,2,43,1,1,100,0,0,8,81,1,10,100000,1,11
2022,202201,37311,2022000313652,26759.2,2022000373111,90004,1,2,12734.8,2,0,1,48,1,8,826,1,100,10,101,1,10,100000,1,11
2022,202201,37634,2022000329123,22568.0,2022000376341,190604,1,2,28371.2,0,0,2,43,2,1,100,0,0,11,114,1,10,50000,2,20
2022,202201,37795,2022000336597,19021.6,2022000377951,250304,1,1,19021.6,2,0,2,30,6,1,100,0,0,7,71,1,10,3900,1,11
2022,202201,37795,2022000336597,19021.6,2022000377951,250304,1,2,16926.0,2,0,1,32,6,1,100,0,0,4,40,1,10,0,1,11
2022,202201,37956,2022000343898,8382.4,2022000379561,12604,1,1,8382.4,0,0,1,63,1,1,100,0,0,10,101,1,10,99000,1,11
2022,202201,37956,2022000343898,8382.4,2022000379561,12604,1,2,7898.8,0,0,2,62,1,1,100,0,0,6,63,1,10,27000,1,11
2022,202201,38440,2022000368350,9188.4,2022000384401,60204,1,3,13702.0,0,0,1,21,6,1,100,0,0,2,26,1,10,4000,1,11
2022,202201,38601,2022000375434,14830.4,2022000386011,11404,1,1,14830.4,0,0,2,58,1,1,100,0,0,7,71,1,10,115000,1,11
2022,202201,38762,2022000382068,59966.4,2022000387621,10904,1,1,59966.4,3,1,1,40,4,1,100,0,0,10,101,1,10,107000,2,20
2022,202201,38923,2022000390869,9349.6,2022000389231,10504,1,3,9833.2,0,0,2,23,6,1,100,4,498,7,71,1,10,8000,1,11
2022,202201,39085,2022000398244,9188.4,2022000390851,13204,1,1,9027.2,0,0,1,60,1,1,100,0,0,6,63,1,10,285000,1,11
2022,202201,39246,2022000405728,10800.4,2022000392461,13504,1,2,12251.2,1,0,1,51,6,8,801,0,0,11,114,1,10,55000,1,11
2022,202201,39246,2022000405728,10800.4,2022000392461,13504,1,4,10155.6,0,0,2,41,2,9,963,0,0,10,101,1,10,60000,1,11
